Species	Antibiotic	W1	CI_Low	CI_High
Acinetobacter baumannii	CIP	0.9845037931497161	0.971957997373337	0.9970495889260953
Acinetobacter baumannii	CRO	0.9842886166656658	0.9738582989405743	0.9947189343907573
Acinetobacter baumannii	CTX	0.9586143446026014	0.937269707217738	0.9799589819874649
Acinetobacter baumannii	FOX	1.0	1.0	1.0
Acinetobacter baumannii	GEN	0.9904619917311113	0.9816723035730548	0.9992516798891677
Acinetobacter baumannii	IPM	0.9523525382953798	0.9450633573497704	0.9596417192409892
Acinetobacter baumannii	LVX	0.9624969035533985	0.9498560393389875	0.9751377677678094
Acinetobacter baumannii	MEM	0.919067809387444	0.8970755364550363	0.9410600823198517
Acinetobacter baumannii	NIT	0.9971428571428571	0.989210156842292	1.0050755574434223
Acinetobacter baumannii	SAM	0.9207739493639607	0.8840376043430963	0.9575102943848252
Acinetobacter baumannii	SXT	0.7151721903368452	0.7043781442191316	0.7259662364545588
Acinetobacter baumannii	TET	0.9843549748311652	0.9692835240560793	0.9994264256062511
Acinetobacter baumannii	TOB	0.9565568386503625	0.9457143279115451	0.9673993493891798
Campylobacter jejuni	ALL	0.9545109468165018	0.9411689112156626	0.9678529824173411
Campylobacter jejuni	AZM	0.9748373246531814	0.9531032877786777	0.9965713615276851
Campylobacter jejuni	CIP	0.9528920632945146	0.9085118427074144	0.9972722838816148
Campylobacter jejuni	CLI	0.9340652633514109	0.9185785658735064	0.9495519608293155
Campylobacter jejuni	ERY	0.9937653814602132	0.9818681101745156	1.005662652745911
Campylobacter jejuni	FLF	0.9832446808510639	0.9494949381486602	1.0169944235534676
Campylobacter jejuni	GEN	0.9771129064733716	0.9561524189263501	0.9980733940203931
Campylobacter jejuni	NAL	0.7778867981975399	0.7033065682692017	0.8524670281258782
Campylobacter jejuni	TEL	0.9747340425531915	0.9528567518758846	0.9966113332304984
Campylobacter jejuni	TET	0.9661200300075018	0.93740064061986	0.9948394193951436
Enterobacter cloacae	ALL	0.6887413950714834	0.6581854993883879	0.7192972907545788
Enterobacter cloacae	CAZ	0.5893348780042188	0.5345537690556939	0.6441159869527437
Enterobacter cloacae	CIP	0.5899904923683386	0.5260643045146592	0.6539166802220179
Enterobacter cloacae	FOX	0.96	0.8489421957920881	1.071057804207912
Enterobacter cloacae	GEN	0.649361662603042	0.5611628025830708	0.7375605226230131
Enterobacter cloacae	TGC	0.867334407983978	0.8271808719190431	0.9074879440489129
Enterobacter cloacae	TZP	0.7464070983084309	0.7103565071790992	0.7824576894377626
Escherichia coli	ALL	0.7871535682301478	0.7744386826685654	0.7998684537917302
Escherichia coli	AMC	0.8248490639794988	0.717794865025437	0.9319032629335605
Escherichia coli	AMK	0.9070197831366034	0.8650891041317877	0.948950462141419
Escherichia coli	AMP	0.8274685686576907	0.7951824116736014	0.85975472564178
Escherichia coli	AMX	0.398838004101162	0.3483648987669367	0.44931110943538727
Escherichia coli	CIP	0.7636480379143299	0.7539551217383624	0.7733409540902974
Escherichia coli	CRO	0.836906477993824	0.8120733573692972	0.8617395986183508
Escherichia coli	CST	0.7891551417638374	0.7306391163289692	0.8476711671987056
Escherichia coli	FEP	0.8139479254336613	0.7480723277282584	0.8798235231390643
Escherichia coli	GEN	0.8263698623062906	0.780608052947997	0.8721316716645843
Escherichia coli	MEM	0.768962602815772	0.7065740126210772	0.8313511930104668
Escherichia coli	SXT	0.8345912445771606	0.8202549065489533	0.8489275826053679
Escherichia coli	TET	0.5756327985739752	0.38989735374076445	0.761368243407186
Escherichia coli	TZP	0.8470101973850269	0.7932486849920529	0.9007717097780009
Klebsiella pneumoniae	ALL	0.9415519856282444	0.937459827872046	0.9456441433844428
Klebsiella pneumoniae	AMC	0.9394439794439796	0.890529015177188	0.9883589437107713
Klebsiella pneumoniae	AMK	0.9547204126918538	0.9428902798670876	0.96655054551662
Klebsiella pneumoniae	AMP	0.9980324033041443	0.994010075833538	1.0020547307747507
Klebsiella pneumoniae	ATM	0.9512447597370295	0.9433867398648208	0.9591027796092382
Klebsiella pneumoniae	CAZ	0.9305540398483748	0.9156014401695232	0.9455066395272265
Klebsiella pneumoniae	CFZ	0.9373442848947583	0.9216857351208627	0.9530028346686539
Klebsiella pneumoniae	CIP	0.9399106670630524	0.9225564029662013	0.9572649311599034
Klebsiella pneumoniae	CRO	0.980129020315563	0.9719957840189657	0.9882622566121604
Klebsiella pneumoniae	CST	0.729125529058515	0.6640354267671522	0.7942156313498778
Klebsiella pneumoniae	CTX	0.8020994388884297	0.7772354977560445	0.8269633800208149
Klebsiella pneumoniae	CXM	0.9848565211478307	0.9727792603499296	0.9969337819457319
Klebsiella pneumoniae	ETP	0.8881553210506011	0.8448354615493746	0.9314751805518277
Klebsiella pneumoniae	FEP	0.9256987196348053	0.914422375489741	0.9369750637798696
Klebsiella pneumoniae	FOX	0.8992309051162584	0.8741869494808252	0.9242748607516915
Klebsiella pneumoniae	GEN	0.909780158647694	0.8833141444611446	0.9362461728342434
Klebsiella pneumoniae	IPM	0.9345841512764446	0.9199795477050424	0.9491887548478467
Klebsiella pneumoniae	LVX	0.9716971778114191	0.9583335362812855	0.9850608193415527
Klebsiella pneumoniae	MEM	0.936909264732493	0.9279587319042272	0.9458597975607589
Klebsiella pneumoniae	NIT	0.9834733166279221	0.9661225563964083	1.000824076859436
Klebsiella pneumoniae	SAM	0.9960857296208288	0.9914506534568085	1.000720805784849
Klebsiella pneumoniae	SXT	0.9490650910255818	0.9343393944873168	0.9637907875638467
Klebsiella pneumoniae	TET	0.8390252797105591	0.8039286166086299	0.8741219428124882
Klebsiella pneumoniae	TGC	0.8648095754617493	0.8206697805274723	0.9089493703960263
Klebsiella pneumoniae	TOB	0.9684864735232501	0.9577486241494618	0.9792243228970384
Klebsiella pneumoniae	TZP	0.9305335914903974	0.9187964886915704	0.9422706942892244
Mycobacterium tuberculosis	ALL	0.688135240200069	0.6811190663129565	0.6951514140871815
Mycobacterium tuberculosis	EMB	0.0	0.0	0.0
Mycobacterium tuberculosis	INH	0.7794727082157543	0.7645149498375056	0.7944304665940031
Mycobacterium tuberculosis	PZA	0.0	0.0	0.0
Mycobacterium tuberculosis	RIF	0.9843373493975903	0.9671173181265841	1.0015573806685965
Mycobacterium tuberculosis	STR	1.0	1.0	1.0
Neisseria gonorrhoeae	ALL	0.8843067309675099	0.8764791489928819	0.8921343129421379
Neisseria gonorrhoeae	AZM	0.8163688010415434	0.7376631428470017	0.8950744592360851
Neisseria gonorrhoeae	CFM	0.9277857028665594	0.9155806470343101	0.9399907586988087
Neisseria gonorrhoeae	CIP	0.849517395420843	0.8347912556284633	0.8642435352132227
Neisseria gonorrhoeae	CRO	0.8957854530835568	0.8853231348885582	0.9062477712785555
Neisseria gonorrhoeae	PEN	0.7874328449328449	0.6380414242678994	0.9368242655977904
Neisseria gonorrhoeae	SPT	0.9786134409119208	0.9634052435374025	0.9938216382864391
Neisseria gonorrhoeae	TET	0.8332095155839376	0.8222708460154967	0.8441481851523785
Pseudomonas aeruginosa	ALL	0.8380037462341277	0.8289689516179517	0.8470385408503036
Pseudomonas aeruginosa	AMK	0.9307232464505193	0.895059461196046	0.9663870317049926
Pseudomonas aeruginosa	CAZ	0.7046898026551159	0.6537672207546251	0.7556123845556068
Pseudomonas aeruginosa	CIP	0.7867817155302987	0.7109360845468556	0.8626273465137418
Pseudomonas aeruginosa	CST	0.9910756842471906	0.9847754011002104	0.9973759673941708
Pseudomonas aeruginosa	LVX	0.8661760935323066	0.842266627644255	0.8900855594203583
Pseudomonas aeruginosa	MEM	0.783713281012761	0.7285233388908587	0.8389032231346634
Pseudomonas aeruginosa	TOB	0.7577361784877205	0.7149453837322786	0.8005269732431624
Salmonella enterica	ALL	0.9484540202106538	0.9439118934021804	0.9529961470191273
Salmonella enterica	AMC	0.8954071745097977	0.8602754963996415	0.9305388526199538
Salmonella enterica	AMP	0.9530816755769044	0.9343602117934081	0.9718031393604006
Salmonella enterica	AZM	0.9917065452910387	0.9850633119831346	0.9983497785989429
Salmonella enterica	CHL	0.9578079980291434	0.9495925935546357	0.9660234025036512
Salmonella enterica	CIP	0.9375946147974549	0.9260333105605602	0.9491559190343496
Salmonella enterica	CRO	0.97512852158589	0.9603359947222233	0.9899210484495568
Salmonella enterica	FIS	0.9176066112181832	0.898077734522694	0.9371354879136724
Salmonella enterica	FOX	0.9339365982808733	0.9249093765259035	0.942963820035843
Salmonella enterica	GEN	0.973821412463385	0.9623658081854618	0.9852770167413083
Salmonella enterica	KAN	0.9606274509803923	0.9308061996971213	0.9904487022636632
Salmonella enterica	NAL	0.9669455448386854	0.9542228637221392	0.9796682259552317
Salmonella enterica	STR	0.8822519810374061	0.848490673928616	0.9160132881461962
Salmonella enterica	SXT	0.9412131704148138	0.9235454267258396	0.958880914103788
Salmonella enterica	TET	0.9244531495689976	0.9038035771489007	0.9451027219890945
Salmonella enterica	TIO	0.9437696036498432	0.9292116075240058	0.9583275997756806
Streptococcus pneumoniae	ALL	0.9203024889485469	0.9139165957327648	0.926688382164329
Streptococcus pneumoniae	CHL	0.9893482422381303	0.9763307272282992	1.0023657572479614
Streptococcus pneumoniae	CLI	0.9800069053799849	0.9703598462256761	0.9896539645342938
Streptococcus pneumoniae	CRO	0.9135290570689397	0.9009197954127683	0.9261383187251111
Streptococcus pneumoniae	CTX	0.947103440324136	0.9343361656956244	0.9598707149526475
Streptococcus pneumoniae	ERY	0.8311115903018536	0.7965902361618329	0.8656329444418742
Streptococcus pneumoniae	PEN	0.884024165158595	0.8171425229703208	0.9509058073468694
Streptococcus pneumoniae	SXT	0.9635053282337086	0.9276223330464435	0.9993883234209737
Streptococcus pneumoniae	TET	0.934104735942537	0.9084201455768148	0.9597893263082591
